weight:,0.04,0.15,0.17,0.07,0.13,0.08,0.15,0.15,0.06,1.00,
category:,Submission,Information,Interface,Calculation,Information,Interface,Validation,Validation,Calculation,,
project-id,file-name,inputs,ux,api-request,outputs-recommendation,outputs-data-sheets,prelim-validations,response-error-handling,algorithm,raw-score,comments
44,0.9,1,1,1,1,1,0.4,1,1,0.906,file-name-characters (extra); prelim-validation (no request prevention)
18,1,1.2,0.85,1,1,0.4,0.6,1,1,0.8965,inputs-multiple-symbols++; data-sheet (none); prelim-validations (attempted but not successful in preventing request for numeric input); ux (not sure when request has completed)
5,1,0.8,0.55,1,1,1,1,1,1,0.8935,inputs-duplicate-methods; ux-looks-familiar ('crunching' message); ux (input box cancellation does not prevent request)
29,1,1,0.9,1,1,1,0.4,1,1,0.893,ux-explanations++; ux-recommendation-usd-formatting; prelim-validation (no request prevention)
48,1,1,0.8,1,1,1,0.4,1,1,0.876,ux (hard-coded $0 in recommendation message); prelim-validation (no request prevention)
39,1,1,0.8,1,1,1,0.4,1,1,0.876,ux (input box cancellation does not prevent request); prelim-validation (no request prevention)
17,0.7,0.8,0.45,1,1,1,1,1,1,0.8645,file-name-capitalization; file-name-characters (wrong and extra); inputs-duplicate-methods; ux (irrelevant button prompt); ux (input box cancellation does not prevent request); ux-recommendation-usd-formatting
36,0.8,1,1,1,1,1,0.6,0.5,1,0.857,file-name-capitalization; file-name-characters (wrong); prelim-validation (message but no request prevention); response-error-unhandled (message OK)
42,1,1,0.65,1,1.2,0.7,0.4,1,1,0.8525,inputs-duplicate-methods; inputs-multiple-symbols++; ux-explanations++; outputs-charts++; ux-recommendation-usd-formatting; ux (input box cancellation does not prevent request); data-sheets (multiple symbols on same sheet); prelim-validation (no request prevention)
41,1,1,0.55,1,1,1,0.4,1,1,0.8335,ux-looks-familiar ('crunching' message); ux-recommendation-usd-formatting; prelim-validation (no request prevention)
45,1,1,0.55,1,1,1,0.4,1,1,0.8335,ux-looks-familiar ('crunching' message); ux-recommendation-usd-formatting; prelim-validation (no request prevention)
38,0.9,1,0.8,1,0.8,1,0.6,0.5,1,0.801,"file-name-characters (wrong); outputs-temporal-disconnect; prelim-validation (message but no request prevention); response-error-handling (does not prevent recommendation, message OK); ux-recommendation-usd-formatting"
37,0.9,1,0,1,1.2,0.7,0.4,1,1,0.738,"file-name-characters (extra); inputs-multiple-symbols++; inputs-duplicate-methods; ux (your button is a picture, and has nothing to do with the code, needed to create a button for you to run your program, taking max ux deduction to prevent all other categories from being zeros as well); ux-restrictions (fixed two inputs - handled OK); ux-looks-familiar (message boxes); ux-explanations++; data-sheets (multiple symbols on same sheet); outputs-charts++ prelim-validation (no request prevention)"
